judul,label,isi
Polisi Amankan 84 Kg Sabu-sabu dari Jaringan Narkoba Malaysia-Aceh,Nasional," - Direktorat Tindak Pidana Narkoba (Dittipidnarkoba) Badan Reserse Kriminal (Bareskrim) Polri mengamankan 84 kilogram ,-sabu yang berasal dari sindikat narkoba jaringan , dan ,.,Pengungkapan kasus itu berawal dari laporan masyarakat terkait adanya peredaran narkotika jenis sabu-sabu atau metamfetamin yang akan dijemput oleh anggota sindikat itu dari perairan Malaysia.,""Modusnya adalah dengan ,, jadi ada kapal penjemput dari Aceh lalu akan menjemput di satu titik di perairan Malaysia,"" ujar Dirtipidnarkoba Bareskrim Brigjen Krisno Halomoan Siregar dalam konferensi pers di Gedung Bareskrim Polri, Senin (21/3/2022).,""Akan kembali lagi ke masuk ke Indonesia ke perairan Aceh dan selanjutnya akan disebarkan ke kota-kota besar lain di Indonesia, khususnya Jakarta,"" ujar dia.,Menurut Krisno, sindikat narkoba jaringan Aceh dan Malaysia itu telah dipantau oleh kepolisian sejak lama. Pada masa pandemi Covid-19 saat ini, ujar dia, Indonesia masih menjadi pasar bagi peredaran narkoba tersebut.,Untuk membongkar kasus itu, lanjut Krisno, Dittipidnarkoba Polri bersama Direktorat Bea dan Cukai serta Polda Aceh melakukan patroli untuk menyisir area yang dicurigai.,""Tim terpadu melakukan patroli dengan menaiki kapal Bea dan Cukai, kami bersama di dalam kapal ini, dan kami menyisir lokasi yang dicurigai,"" ujar Krisno.,Dalam penyisiran tersebut, tim gabungan menemukan sat kapal di Perairan Aceh Timur pada Senin 14 Maret 2022 pukul 14.00 WIB. Polisi kemudian mengamankan dua orang pria yang salah satunya adalah nahkota kapal.,""Setelah diperiksa ternyata di dalam kapal ditemukan 84.165 gram atau lebih kurang 84 kilogram sabu-sabu yang dibungkus,"" papar Krisno.,""Juga ada barang bukti lain yang ditemukan, alat komunikasi dua unit, satu unit HP satelit, satu unit HP GSM biasa,"" ujar dia."
Pimpinan Komisi VI Nilai Hak Angket Minyak Goreng Belum Diperlukan,Nasional," Wakil Ketua , dari Fraksi Partai Gerindra Mohamad Hekal menilai, panitia khusus (pansus) hak angket terkait persoalan , belum diperlukan dan dapat menimbulkan kegaduhan di tengah publik., ""Bukan menolak, tetapi memandang belum perlu, nanti tambah kisruh,"" kata Hekal kepada ,, Senin (21/3/2022)., Hekal menuturkan, Komisi VI DPR sendiri telah sepakat membentuk panitia kerja (panja) komoditas pangan untuk mendalami polemik minyak goreng., , Menurut dia, Komisi VI DPR terpanggil membentuk panja ketimbang pansus untuk mendalami permasalahan minyak goreng karena hal itu merupakan masalah yang harus diatasi oleh Menteri Perdagangan (Mendag) Muhammad Lutfi, mitra kerja Komisi VI DPR., Ia mengaku kecewa dengan penjelasan Lutfi terkait kelangkaan minyak goreng dalam rapat Komisi VI DPR pada Kamis (17/3/2020) lalu karena stok minyak goreng kemasan langsung muncul di pasaran setelah pemerintah melepasnya ke mekanisme pasar. , ""Kan sangat memalukan bahwa setelah dibebaskan DMO (Domestic Market Obligation), DPO (Domestic Price Obligation), HET (harga eceran tertinggi) dan PE (persetujuan ekspor), dalam kurang dari satu  hari barang melimpah yang sebelumnya langka. Kan itu semua kewenangan Mendag yang gagal mengatasi situasi. Jadi ini dulu yang kita harus dalami,"" ujar Hekal., , Diberitakan sebelumnya, Fraksi Partai Keadilan Sejahtera (PKS) mendorong dibentuknya Panitia Khusus Hak Angket untuk menyikapi persoalan kenaikan harga minyak goreng dan kelangkaan di pasar., Ketua Fraksi PKS Jazuli Juwaini mengatakan, persoalan minyak goreng masih terjadi hingga kini dan berdampak pada kehidupan masyarakat, khususnya ibu rumah tangga., Jazuli menuturkan, Fraksi PKS menggulirkan hak angket agar dapat mengetahui secara jelas persoalan minyak goreng demi menemukan alasan penyebab dan solusi mengatasinya. , ""Kami tidak tega melihat ibu-ibu yang sudah berkelok-kelok mengantre minyak goreng ini, bahkan sampai ada yang meninggal dunia,"" kata Jazuli, Jumat (18/3/2022)."
Publik Dinilai Anggap KPK Tak Setangguh Dulu,Nasional," - Direktur Pusat Studi Konstitusi (,) Universitas Andalas , menilai publik tidak melihat Komisi Pemberantasan Korupsi (,) saat ini setangguh lembaga antirasuah itu pada era kepemimpinan sebelumnya.,Hal itu disampaikan Feri menanggapi hasil , pada 22-24 Februari 2022 yang menunjukan sebanyak 48,2 persen publik tidak puas dengan kinerja KPK.,“Sebagaimana sudah diduga bahwa KPK dengan undang-undang yang baru dan di bawah kepemimpinan saat ini adalah KPK yang dilemahkan oleh politisi dengan berbagai cara,” Tutur Feri pada ,, Senin (21/3/2022).,“Publik melihat upaya KPK saat ini tidak setangguh KPK sebelumnya,” jelas dia.,Feri menilai situasi ini muncul juga karena pimpinan KPK tidak memahami nilai-nilai moralitas dasar.,Kondisi itu, lanjut Feri, membuat kinerja KPK saat ini mengalami penurunan.,“Seperti etika hidup sederhana dan tidak memiliki konflik kepentingan dengan keluarga yang membuat jumlah operasi tangkap tangan (OTT) mengecil dan tidak menyasar orang-orang besar,” papar dia.,Di sisi lain, Feri berpendapat Dewan Pengawas (Dewas) KPK bekerja tidak optimal untuk mengembalikan standar etika di lembaga antirasuah itu.,“Dewas sudah menjadi alat untuk membenarkan etika pimpinan KPK yang bermasalah. Jadi pilihannya adalah Dewas mengembalikan standar etika KPK,” imbuhnya.,Berdasarkan survei Litbang Kompas, mayoritas publik yakni sebanyak 34,3 persen tak puas dengan kinerja KPK karena menilai kinerja Dewas KPK tak optimal.,Kemudian 26,7 persen responden mengatakan tidak puas dengan kinerja KPK karena turunnya jumlah operasi tangkap tangan (OTT), sebanyak 18,7 persen menyebut KPK terlalu banyak kontroversi dan 11,1 persen karena citra pimpinan KPK sendiri.,Adapun survei Litbang Kompas tersebut melibatkan 506 responden dari 34 provinsi di Indonesia."
Nasdem Tunda Amendemen PPHN UUD 1945 Demi Cegah Isu Tunda Pemilu,Nasional," - Fraksi , di , (,) mengungkapkan salah satu alasan penting untuk menunda usulan amendemen Undang-Undang Dasar (UUD) 1945 terkait Pokok-Pokok Haluan Negara (,). Alasan itu adalah mencegah supaya agenda pembahasan tidak melebar kepada persoalan wacana perpanjangan masa jabatan presiden atau penundaan pemilihan umum (pemilu).,""Penundaan usulan ini juga mencegah agar gagasan amandemen kontitusi terkait PPHN tidak menjadi meluas dengan memasukkan usulan masa jabatan Presiden 3 periode maupun usulan perpanjangan masa jabatan melalui penundaan Pemilu,"" kata Ketua Fraksi Nasdem di MPR , dalam keterangannya, Minggu (20/3/2022) kemarin.,Anggota Komisi III Dewan Perwakilan Rakyat (DPR) itu mengatakan, sejak awal partainya mengusulkan supaya wacana amendemen itu dikaji ulang dan tidak dipaksakan. Menurut dia, amendemen terkait PPHN masih merupakan gagasan elite politik dan belum menjadi kebutuhan masyarakat.,Akan tetapi, kata Taufik, UUD 1945 tidak melarang adanya amendemen konstitusi. Namun, menurut Taufik amendemen harus dilakukan secara hati-hati, penuh pertimbangan dan didasarkan atas kebutuhan fundamental demi kepentingan bangsa.,Selain itu, Taufik mengatakan Fraksi Nasdem telah menggelar survei bekerja sama dengan lembaga Survei Indikator Politik yang dilakukan pada September 2021. Hasil survei itu menunjukkan masyarakat menolak usulan amendemen baik untuk PPHN maupun mengakomodasi hal lain.,""Sehingga saat ini belum ada alasan yang cukup untuk melakukan amandemen,"" ujar Taufik.,Pekan lalu, Fraksi Partai Demokrasi Indonesia Perjuangan di MPR mengusulkan penundaan kajian , terkait PPHN. Ketua Fraksi PDI-P di MPR Ahmad Basarah menyarankan amendemen terbatas itu lebih baik tidak dilaksanakan pada periode saat ini.,""Sebaiknya rencana amendemen terbatas UUD tersebut tidak dilaksanakan pada periode 2019-2024 ini,"" kata Basarah saat dihubungi Kompas.com, Kamis (17/3/2022) pekan lalu.,Salah satu alasan Fraksi PDI-P MPR mengusulkan amendemen ditunda karena menilai situasi psikologis bangsa saat ini tidak kondusif. Maka, adanya wacana amendemen terbatas sebaiknya tidak dilakukan di masa sekarang.,""Situasi psikologis bangsa yang tidal kondusif, seperti adanya pikiran dan rasa saling curiga di antara sesama komponen bangsa serta adanya kepentingan perorangan maupun kelompok tertentu,"" jelasnya."
Mayoritas Publik Tak Puas dengan KPK Karena Kinerja Dewas ,Nasional," - Mayoritas publik merasa tidak puas dengan kinerja Komisi Pemberantasan Korupsi (,), jika melihat hasil survei yang dilaksanakan Litbang Kompas pada 22-24 Februari lalu.,Berdasarkan survei terhadap 506 responden di 34 provinsi, 48,2 persen publik menyatakan ketidakpuasannya terhadap kinerja Lembaga Antirasuah itu. Dari hasil survei, penyebab ketidakpuasan terbesar yakni akibat kinerja Dewan Pengawas (Dewas) KPK, yang dinilai tidak optimal (34,3 persen).,Menurut peneliti Pusat Studi Antikorupsi Universitas Gadjah Mada (UGM) Zaenur Rohman, nama-nama besar di dalam , tak bisa menjamin bahwa kinerja Dewas akan menjadi baik.,“Meski diiisi nama-nama besar kinerja Dewas sangat buruk. Misalnya dalam memutus Lili Pintauli Siregar, (sikap) Dewas sangat lembek,” tuturnya pada Kompas.com, Senin (21/3/2022).,Lili sebelumnya dinyatakan bersalah melakukan pelanggaran kode etik berat karena berkomunikasi dengan mantan Wali Kota Tanjungbalai, M Syahrial, yang tengah berperkara di KPK.,Dalam putusannya, Dewas KPK menjatuhkan sanksi berupa pemotongan gaji pokok sebesar 40 persen selama 12 bulan kepada Lili. Namun, putusan itu dinilai terlalu ringan.,“Seharusnya Dewas memecat Lili, karena telah berkomunikasi dengan pihak beperkara,” ucapnya.,Ia pun pesimistis KPK di bawah kepemimpinan Firli Bahuri akan berbenah.,“Kecil kemungkinan pimpinan KPK mau berubah. Satu-satunya harapan saya adalah tahun depan mereka tidak lagi terpilih,” imbuh dia.,Selain putusan terhadap Lili, saat ini ada dua laporan yang tengah masuk ke Dewas KPK."
500 UMKM Buka Gerai di Hari Pertama Mal Sarinah Dibuka Kembali,Megapolitan," - Sebanyak 500 unit mikro kecil menengah (UMKM) membuka gerainya di pusat perbelanjaan Sarinah pada hari pertamanya kembali beroperasi, Senin (21/3/2022).,""95 persen sudah terisi, yang buka hari ini sekitar 75 persen terdiri dari , dan depatement store,"" kata Direktur Utama PT Sarinah Fetty Kwartati, Senin.,Saat ini, Mal Sarinah belum sepenuhnya rampung dari target yang ditetapkan pengelola.,Fetty mengatakan  akan meningkatkan sisi bisnis dari Mal Sarinah.,""Misalnya perbaikan , lalu penguatan , kemudian bisnis, itu proses yang berkelanjutan,"" tutur dia.,Fetty mengatakan bahwa pembukaan besar Mal Sarinah akan diresmikan secara keseluruhan pada bulan Juni 2022.,Pada bulan Juni tersebut, Fetty berharap semua usaha mikro kecil menengah (UMKM) telah mengisi semua ruko yang tersedia di Mal Sarinah.,Fetty menuturkan, kembali beroperasinya Mal Sarinah pada saat penerapan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) level 2 di Jakarta, akan mengikuti peraturan yang ada.,""Tentu kita mengikuti aturan PPKM level 2, pembukaan dari jam 10.00 sampai 21.00 WIB dan kapasitas lainnya mengikuti PPKM,"" ungkap dia.,Sebelumnya diberitakan, pusat perbelanjaan Sarinah yang terletak di Jalan MH Thamrin, Jakarta Pusat, kembali beroperasi dengan tampilan baru.,""Dengan bangga kami mempersembahkan #TransformasiSarinah. Sebuah gerakan konkrit atas pengembangan dan dukungan terhadap brand lokal keren untuk mewujudkan kebangkitan ekonomi kerakyatan,"" tulis akun Instagram @sarinahindonesia, Minggu (20/3/2022).,Usai direnovasi besar-besaran sejak 2020, Sarinah kembali dengan mengusung tema ,yang diharapkan menjadi tempat anak muda dan komunitas untuk berkumpul bersama."
"Gitaris Geisha Roby Satria Ditangkap karena Ganja, Berawal Laporan Studio Musik Kerap Jadi Tempat Gunakan Narkoba",Megapolitan," - Polisi membeberkan kronologi penangkapan gitaris band Geisha, ,, bersama asistennya yang berinisial AJR terkait penyalahgunaan narkoba jenis ganja.,Roby dan AJR ditangkap di salah satu studio musik kawasan Perdatam, Pancoran, Jakarta Selatan, pada Sabtu (19/3/2022) malam.,Kapolres Metro Jakarta Selatan Kombes Budhi Herdi Susianto mengatakan, Roby dan AJR ditangkap berawal dari adanya informasi dari masyarakat.,Masyarakat melaporkan bahwa studio musik di sana kerap dijadikan tempat menggunakan narkoba.,""Kemudian tim melakukan penyelidikan dan melihat seseorang dengan gerak-gerik mencurigakan keluar dan masuk kamar mandi,"" ujar Budhi kepada wartawan, Senin (19/3/2022).,Diketahui orang itu adalah AJR yang kemudian diperiksa dan digeledah penyidik. Saat itulah ditemukan barang bukti berupa 8 gram ganja.,Budhi mengatakan, penyidik lalu mendalami keterangan AJR. Berdasarkan keterangan AJR, ganja tersebut didapat dari Roby.,""Kemudian kami melakukan penangkapan saudara RS (Roby) yang juga berada tidak jauh. RS masih berada di dalam lingkungan studio musik itu,"" kata Budhi.,Dari penangkapan Roby dan AJR, penyidik mendapatkan barang bukti lain yakni satu linting ganja yang diduga sudah digunakan.,""Kami pada saat itu mendapatkan barang bukti lain dari apa yang dilakukan oleh RS. Pertama ganja dalam paket pertama seberat 8 gram, lalu ada juga bekas yang sudah diisap,"" ucap Budhi."
"Bacakan Eksepsi, Kuasa Hukum Adam Deni Sebut Dakwaan Jaksa Ragu-ragu",Nasional," - Kuasa hukum ,, Herwanto menilai, , (JPU) ragu-ragu dalam mengajukan dakwaan kepada kliennya.,Hal itu disampaikan Herwanto saat membacakan eksepsi atau nota keberatan dakwaan di Pengadilan Negeri (PN) Jakarta Utara, Senin (21/3/2022).,Keraguan itu dinilai nampak dari , atau waktu terjadinya tindak pidana dan , atau tempat terkait terjadinya tindak pidana.,“Kalimat-kalimat sebagaimana disebut di atas yang terdapat dalam surat dakwaan JPU, menunjukan bahwa sebenarnya JPU masih berpikir mengenai waktu dan tempat kejadian yang belum pasti dan terdapat kemungkinan adanya waktu dan tempat kejadian lain yang disebut pada surat dakwaan ini,” papar Herwanto.,Sebelumnya dalam sidang Senin (14/3/2022) pekan lalu, Adam didakwa melanggar Undang-Undang Informasi dan Transaksi Elektronik (UU ITE) karena mengunggah dokumen pembelian sepeda milik Wakil Ketua Komisi III DPR ,.,Dalam surat dakwaan, jaksa menyebutkan tindakan pidana itu dilakukan 26 Januari 2022 pukul 21.00 WIB atau pada suatu waktu yang lain yang masih termasuk dalam bulan Januari 2022.,Pernyataan itu menurut Herwanto merupakan asumsi yang tidak pasti.,“Bahwa asumsi dan cara berpikir JPU di atas mengenai waktu dan tempat kejadian tindak pidana yang didakwakan menimbulkan keragu-raguan,” tutur dia.,“Sehingga oleh karenanya dapat dikategorikan tidak memenuhi syarat uraian cermat, jelas, dan lengkap atau dengan kata lain meragukan atau ragu-ragu, atau ,,” jelasnya.,Dalam perkara ini Adam Deni dan terdakwa lainnya yaitu Ni Made Dwita Anggari didakwa dengan Pasal 48 Ayat (3) jo Pasal 32 Ayat (3) Undang-Undang (UU) Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik (ITE) sebagaimana diubah dan ditambah dengan UU Nomor 19 Tahun 2016 Jo Pasal 55 Ayat (1) ke-1 KUHP."
"Diperiksa Sebagai Tersangka Kasus Pencemaran Nama Luhut, Fatia Maulidiyanti: Kalau Ditahan, Terbukti Represif",Megapolitan," - Koordinator KontraS , menilai bahwa kepolisian terbukti melakukan tindakan represif jika menahan dia dan aktivis Haris Azhar.,Untuk diketahui, keduanya tengah menjalani pemeriksaan sebagai tersangka dugaan kasus pencemaran nama baik Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan.,""Kalau ditahan kan terbukti adanya represifitas, saya sih terima-terima saja. Tapi yang jadi urusan adalah bagaimana sebetulnya akuntabilitasnya itu sendiri,"" ujar Fatia di Mapolda Metro Jaya, Senin (21/3/2022).,Fatia mengaku siap jika ditahan kepolisian karena mengetahui bahwa hal tersebut merupakan konsekuensi yang dihadapi ketika berurusan dengan hukum.,""Yang perlu dilihat juga dan ditanya ke polisi apakah akan ditahan atau tidak? Kalau kami sudah siap konsekuensi dari awal. Kami juga siap buka data ke publik gitu,"" pungkas dia.,Kasus dugaan pencemaran nama baik ini berawal dari unggahan video diskusi di kanal YouTube pribadi milik Haris Azhar. Diskusi tersebut dilakukan bersama Fatia.,Kala itu, pada 20 Agustus 2021, Haris mengunggah video berjudul ""Ada Lord Luhut di Balik Relasi Ekonomi-Ops Militer Intan Jaya, Jenderal BIN Juga Ada"".,Dalam video tersebut keduanya mengungkapkan nama-nama penguasa yang diduga ""bermain"" dalam bisnis tambang di Intan Jaya, Papua. Salah satunya adalah Luhut.,Merespons hal itu, Luhut melayangkan somasi kepada Haris dan Fatia. Sang Menteri meminta keduanya meminta maaf karena telah menuding Luhut lewat unggahan video tersebut.,Namun, Luhut merasa kedua aktivis itu tidak mengindahkan somasi yang dilayangkan dan tidak menyampaikan permintaan maaf."
KPU Uji Publik Rancangan PKPU Pendaftaran Parpol Peserta Pemilu 2024,Nasional," - Komisi Pemilihan Umum (,) melakukan , terhadap rancangan Peraturan KPU (,) tentang Pendaftaran, Verifikasi, dan Penetapan Partai Politik Peserta , Anggota DPR dan DPRD, hari ini, Senin (21/3/2022)., rancangan beleid ini dilakukan secara hybrid, yakni baik secara daring dan luring.,Uji publik ini merupakan salah satu tahapan yang perlu dilakukan sebelum rancangan PKPU dibahas oleh DPR dan pemerintah. Harapannya, keberadaan PKPU yang telah melalui uji publik bisa menyukseskan pelaksanaan ,.,""Oleh karena itu pada hari ini, pada kesempatan ini, kami melakukan uji publik terkait rancangan PKPU yang kami punya saat ini,"" ujar Ketua KPU Ilham Saputra dalam paparanya, Senin (21/3/2022).,Dalam uji publik kali ini, KPU mengundang perwakilan partai politik, akademisi, LSM, serta perwakilan kementerian/lembaga terkait seperti Kemendagri dan Kemenko Polhukam.,Ilham mengatakan, persiapan penetapan rancangan PKPU perlu dilakukan lantaran salah satu tahapan awal pelaksanaan Pemilu 2024, yakni pendaftaran parpol yang jatuh pada 1-7 Agustus 2022 mendatang.,""Kita punya pengalaman pendaftaran dan verifikasi dari , ke pemilu, dan yang paling dekat Pemilu 2019,"" ujar Ilham.,Ilham pun menyatakan, KPU masih memanfaatkan Sistem Informasi Partai Politik (Sipol) pada tahapan verifikasi parpol untuk menjadi peserta pemilu anggota DPR dan DPRD Pemilu 2024. ,""Dan salah salah satu tahapan paling awal adalah pendaftaran parpol, pada rancangan program kami, pendaftaran dilakukan 1-7 Agustus. Pendaftaran parpol masih menggunakan tools Sipol,"" tandas Ilham."
Nama Wali Kota dan Wakil Wali Kota Depok Dicatut Untuk Penipuan Penggalangan Dana Sosial,Megapolitan," - Pejabat Pemerintah Kota (Pemkot) Depok menjadi korban pencatutan nama oleh orang yang tak bertanggung jawab.,Nama mereka disalahgunakan untuk penggalangan dana sosial, bahkan meminta nomor rekening serta pin para korban.,Akibatnya, banyak masyarakat yang dirugikan atas penipuan dengan pencatutan nama tersebut.,Wakil Wali Kota Depok, Imam Budi Hartono mengatakan bahwa modus pelaku penipuan yakni membuat akun palsu media sosial Instagram, Facebook, dan nomor telepon.,""Jadi menggalang dana sosial, kemudian bisa jadi mereka pura-pura mentransfer minta rekeningnya masyarakat. Terus minta PIN-nya yang ada bukan ditransfer malah keambil uangnya kan gitu modusnya,"" ujar Imam kepada wartawan, Senin (21/3/2022).,Imam mengatakan, pelaku mencatut nama dirinya, nama Wali Kota Depok Mohammad Idris, dan pejabat Pemkot Depok lainnya untuk menipu korban.,Ia menambahkan, selama kurun waktu satu tahun, nomor ponsel hingga akun media sosial Pemkot Depok kerap dibajak dan digunakan untuk merugikan masyarakat.,""Ini kan semuanya sudah hampir satu tahun. Bisa dua hingga tiga kali nomor kami dibajak, ataupun FB kami dipakai fotonya, atas namanya dipakai ini yang merugikan masyarakat. Dan kami yang dipakai nama baiknya,"" ujar Imam.,Imam berujar, atas kasus ini pihak perbankan agar lebih teliti dalam merespons nasabahnya, terutama jika hendak membuka tabungan baru.,""Ini kan seharusnya, permasalahan perbankan jangan sampai memberikan orang-orang yang diberi izin membuat tabungan. Padahal dia adalah penipu, harusnya bisa ditangkap, karena kan pakai identitas kalau buat tabungan,"" imbuh dia."
Antusiasme Warga Kunjungi Mal Sarinah yang Kembali Beroperasi,Megapolitan," - Masyarakat tampak antusias mengunjungi pusat perbelanjaan , di Jalan MH Thamrin, Jakarta Pusat, yang kembali beroperasi pada Senin (21/3/2022).,Menjelang pukul 12.00 WIB, , mulai ramai dikunjungi. Sejumlah pengunjung terlihat mengabadikan gedung baru Sarinah yang tampak lebih modern.,Gerai yang menjual produk pakaian bermerek dalam negeri juga diserbu oleh pengunjung. Beberapa restoran dipadati pegawai kantor di sekitar , yang sedang menyantap makan siang bersama rekan kerja.,Kini, desain interior gedung Sarinah tampak lebih modern dan kental dengan nuansa khas nusantara.,""Beda banget ya sama yang lama dan lebih , dengan keadaan yang sekarang,"" ujar Lusi (48), salah satu pengunjung saat ditemui di lokasi, Senin.,Menurut Lusi, bangunan berlantai delapan ini tampak lebih modern dan kekinian setelah direnovasi, namun tidak menghilangkan unsur Indonesia.,Selain melihat-lihat suasana mal Sarinah pada hari pertama pembukaan, Lusi juga memiliki rencana untuk belanja.,""Namanya juga ibu-ibu, lihat-lihat dulu kalau cocok kita beli,"" katanya sambil tertawa.,Pengunjung lainnya, Rizky (31), mengaku hendak makan siang bersama rekan kerjanya di mal Sarinah. Setelah tiba, dia mengaku kagum dengan gedung Sarinah yang menurutnya lebih modern.,""Nuansa Indonesia-nya dapat, modern-nya juga dapat. Bagus Sarinah yang sekarang lebih tertata juga sekarang. Lalu ada relief-relief juga di bawah tadi bagus buat foto-foto,"" ucap Rizky."
"Klaim Sudah Laporkan Mafia Minyak Goreng ke Polisi, Mendag: Semoga 1-2 Hari Ini Diungkap",Nasional," - , (Mendag) , mengatakan, pihaknya telah menyerahkan ke polisi soal dugaan , yang menyebabkan kelangkaan dan tingginya harga di pasaran.,Dalam rapat kerja Komite II DPD pada hari ini, Senin (21/3/2022), Lutfi mengatakan, sosok tersebut diharapkan terungkap dalam waktu 1-2 hari ke depan.,""Ini merupakan sesuatu yang kami serahkan ke Kepolisian. Semoga dalam waktu 1-2 hari akan diungkap siapa yang bermain sebagai mafia ini,"" kata Lutfi dalam keterangannya, Senin.,Lutfi melanjutkan, dirinya juga sudah berjanji kepada Presiden Joko Widodo (Jokowi) untuk menyelesaikan persoalan minyak goreng. Termasuk, soal adanya permainan mafia minyak goreng di Tanah Air.,""Dan saya juga berpikir , untuk melawan mekanisme pasar karena akan memunculkan banyak hal yang tidak terduga,” tambah dia.,Dalam rapat tersebut, Mendag Lutfi mengaku sama sekali tidak membayangkan terjadi kelangkaan minyak goreng seperti saat ini.,Lutfi menjelaskan bahwa instansinya akan mengeluarkan kebijakan agar masyarakat dapat membeli minyak curah di harga Rp 14.000 per liter.,Sementara itu, Ketua Komite II DPD RI Yorrys Raweyai mengatakan, ada kejanggalan pada kebijakan satu harga Rp 14.000 per liter minyak goreng.,Bukannya menstabilkan harga dan ketersediaan di pasar, kebijakan tersebut malah membuat minyak goreng di pasaran semakin langka.,Termasuk, tambah dia, ketika Harga Eceran Tertinggi (HET) ditetapkan pemerintah, keberadaan minyak goreng di pasaran justru semakin menghilang."
"Polisi Akan Periksa Klub Madura United Terkait Kasus Robot ""Trading"" Viral Blast",Nasional," Direktorat Tindak Pidana Khusus (Dittipideksus) Badan Reserse Kriminal (Bareskrim) Polri akan memeriksa klub sepak bola Madura United terkait dugaan , , , pada platform ,.,Klub sepak bola Madura United akan diperiksa sebagai saksi untuk petinggi PT , Global Karya atau Viral Blast, Zainal Hudha Purnama, yang merupakan tersangka dalam kasus itu., ""Penyidik merencanakan akan melakukan pemeriksaan kepada pihak klub sepakbola Madura United terkait peran salah satu tersangka Zainal Hudha Purnama yang menjadi manajer klub sepak bola tersebut serta dana , dari PT Trust Global Karya Viral Blast ke Madura United,"" ujar Direktur Dirtipideksus Bareskrim, Brigjen Whisnu Hermawan, melalui keterangan tertulis, Senin (21/3/2022)., Menurut Whisnu, Zainal telah melakukan kerja sama , dengan beberapa klub sepak bola lainnya. Hal itu, ujar dia, juga akan didalami dalam pemeriksaan untuk menelusuri aliran dana dari PT Trust Global Karya atau Viral Blast tersebut., ""Karena patut diduga menerima harta kekayaan hasil kejahatan penipuan robot , Viral Blast tersebut,"" papar Whisnu., Dalam kasus itu, Dittipideksus Bareskrim Polri telah menyita satu unit rumah milik tersangka Minggus Umboh dan satu unit rumah milik tersangka Zainal Hudha Purnama. Dua rumah tersebut bernilai Rp 15 miliar. Aset-aset itu merupakan hasil penipuan modus robot , petinggi PT Trust Global Karya atau Viral Blast.,Tim Dittipdeksus Bareskrim Polri juga melakukan penggeledahan di Apartemen One Icon Residence Surabaya, Jawa Timur, unit 5305-5306 milik tersangka Putra Wibowo yang merupakan pendiri Viral Blast bersama para tersangka lainnya, serta penggeledahan Kantor PT Trust Global di Royal Residence Surabaya., Wishu menjelaskan, tujuan penggeledahan adalah menemukan dokumen terkait tindak pidana penipuan robot , Viral Blast dan bukti-bukti harta kekayaan hasil kejahatan para tersangka., “Penggeledahan juga serentak pada dua lokasi di Jakarta yaitu rumah di Grogol Petamburan, Jakarta Barat dan Kantor PT Trust Global di Rukan Garden Shopping Arcade, Grogol Petamburan, Jakarta Barat. Kondisi kantor sudah kosong sejak Februari 2022,” ujar Whisnu., “Langkah ini dilakukan untuk memaksimalkan upaya penyidikan yang dilakukan,” ucap dia."
"Kembali Beroperasi Usai Renovasi, Sarinah Diharapkan Jadi Penggerak Produk Lokal",Megapolitan," - Pusat perbelanjaan , kembali beroperasi dengan wajah baru yang mengusung tema ""Community Mall"" pada Senin (21/3/2022)., ""Kita perkenalkan Sarinah sebagai gerakan lokalitas yang sudah lahir kembali berbentuk pusat belanja komoditi mal,"" ujar Direktur Utama PT Sarinah, Fetty Kwartati, di Mal Sarinah, Senin., Menurut Fetty, kini Mal Sarinah mengemban tugas sebagai motor penggerak produk-produk unggul Indonesia agar lebih mendunia., ""Ini menjadi sesuatu daya tarik bagi masyarakat Indonesia yang sangat kekinian dan sangat menginginkan hal-hal yang ,,"" ungkapnya., Pascarenovasi, kini terdapat beberapa titik di Gedung Sarinah yang dapat digunakan masyarakat sebagai tempat untuk mengabadikan momen, misalnya di area ,, ,, maupun di ,., ""Jadi , ini melambangkan 15 patung yang mempresentasikan petani, nelayan, penjual ada kerbau ada ikan, itu masa kejayaan Indonesia dengan mengendepankan hasil bumi Indonesia,"" ucap Fetty., Fetty berharap Sarinah dapat menjadi wadah UMKM lokal yang dapat menggerakkan ekonomi masyarakat dan produk lokal agar bersaing dengan produk-produk luar., ""Kita me-, bahwa Sarinah hadir sebagai , yang siap hadir bersama-sama bergerak mengusung , lokal,"" tutur Fetty."
